season,round,date_utc,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score,winner_team,margin,is_final,is_grand_final,game_id
2024,20,2024-07-27 20:10:00,Perth Stadium,Fremantle,West Coast,17,8,110,11,9,75,Fremantle,35,0,0,35870
2024,20,2024-07-28 13:10:00,M.C.G.,Collingwood,Richmond,14,9,93,9,13,67,Collingwood,26,0,0,35863
2024,20,2024-07-28 15:20:00,S.C.G.,Sydney,Western Bulldogs,7,6,48,12,15,87,Western Bulldogs,-39,0,0,35868
2024,20,2024-07-28 16:10:00,Adelaide Oval,Adelaide,Hawthorn,8,10,58,19,10,124,Hawthorn,-66,0,0,35869
2024,21,2024-08-02 19:15:00,Docklands,Western Bulldogs,Melbourne,15,20,110,9,5,59,Western Bulldogs,51,0,0,35877
2024,21,2024-08-02 20:30:00,Perth Stadium,West Coast,Gold Coast,15,7,97,13,9,87,West Coast,10,0,0,35879
2024,21,2024-08-03 13:45:00,Docklands,North Melbourne,Richmond,14,6,90,10,17,77,North Melbourne,13,0,0,35875
2024,21,2024-08-03 16:35:00,Kardinia Park,Geelong,Adelaide,13,12,90,13,7,85,Geelong,5,0,0,35873
2024,21,2024-08-03 19:30:00,M.C.G.,Collingwood,Carlton,12,12,84,11,15,81,Collingwood,3,0,0,35871
2024,21,2024-08-03 19:30:00,Adelaide Oval,Port Adelaide,Sydney,22,16,148,5,6,36,Port Adelaide,112,0,0,35878
2024,21,2024-08-04 13:10:00,Manuka Oval,Greater Western Sydney,Hawthorn,12,12,84,12,10,82,Greater Western Sydney,2,0,0,35874
2024,21,2024-08-04 15:20:00,M.C.G.,Essendon,Fremantle,13,12,90,14,5,89,Essendon,1,0,0,35872
2024,21,2024-08-04 16:40:00,Docklands,St Kilda,Brisbane Lions,5,9,39,19,10,124,Brisbane Lions,-85,0,0,35876
2024,22,2024-08-09 19:40:00,S.C.G.,Sydney,Collingwood,13,11,89,12,14,86,Sydney,3,0,0,35886
2024,22,2024-08-10 13:45:00,Gabba,Brisbane Lions,Greater Western Sydney,8,16,64,13,4,82,Greater Western Sydney,-18,0,0,35880
2024,22,2024-08-10 13:45:00,Bellerive Oval,North Melbourne,West Coast,14,13,97,15,12,102,West Coast,-5,0,0,35884
2024,22,2024-08-10 16:35:00,Perth Stadium,Fremantle,Geelong,9,8,62,10,13,73,Geelong,-11,0,0,35888
2024,22,2024-08-10 19:30:00,Docklands,Essendon,Gold Coast,12,14,86,13,9,87,Gold Coast,-1,0,0,35882
2024,22,2024-08-10 19:30:00,M.C.G.,Melbourne,Port Adelaide,7,9,51,7,11,53,Port Adelaide,-2,0,0,35883
2024,22,2024-08-11 13:10:00,M.C.G.,Carlton,Hawthorn,5,8,38,16,16,112,Hawthorn,-74,0,0,35881
2024,22,2024-08-11 15:20:00,Docklands,Richmond,St Kilda,7,9,51,15,9,99,St Kilda,-48,0,0,35885
2024,22,2024-08-11 16:10:00,Adelaide Oval,Adelaide,Western Bulldogs,17,9,111,9,18,72,Adelaide,39,0,0,35887
2024,23,2024-08-16 19:40:00,Docklands,Essendon,Sydney,8,11,59,15,8,98,Sydney,-39,0,0,35890
2024,23,2024-08-17 13:45:00,Carrara,Gold Coast,Melbourne,9,9,63,18,9,117,Melbourne,-54,0,0,35891
2024,23,2024-08-17 13:45:00,Sydney Showground,Greater Western Sydney,Fremantle,15,11,101,14,8,92,Greater Western Sydney,9,0,0,35892
2024,23,2024-08-17 16:35:00,M.C.G.,Collingwood,Brisbane Lions,11,13,79,11,12,78,Collingwood,1,0,0,35889
2024,23,2024-08-17 19:30:00,Adelaide Oval,Port Adelaide,Adelaide,11,14,80,8,10,58,Port Adelaide,22,0,0,35896
2024,23,2024-08-17 19:30:00,Docklands,St Kilda,Geelong,16,11,107,14,5,89,St Kilda,18,0,0,35894
2024,23,2024-08-18 13:10:00,Docklands,Western Bulldogs,North Melbourne,20,18,138,6,6,42,Western Bulldogs,96,0,0,35895
2024,23,2024-08-18 15:20:00,M.C.G.,Hawthorn,Richmond,19,17,131,10,8,68,Hawthorn,63,0,0,35893
2024,23,2024-08-18 16:40:00,Perth Stadium,West Coast,Carlton,4,10,34,14,15,99,Carlton,-65,0,0,35897
2024,24,2024-08-23 19:40:00,M.C.G.,Melbourne,Collingwood,8,9,57,15,13,103,Collingwood,-46,0,0,35902
2024,24,2024-08-24 13:45:00,Kardinia Park,Geelong,West Coast,26,12,168,11,9,75,Geelong,93,0,0,35900
2024,24,2024-08-24 14:10:00,M.C.G.,Richmond,Gold Coast,10,6,66,14,10,94,Gold Coast,-28,0,0,35903
2024,24,2024-08-24 16:35:00,York Park,Hawthorn,North Melbourne,26,14,170,7,4,46,Hawthorn,124,0,0,35901
2024,24,2024-08-24 19:25:00,Gabba,Brisbane Lions,Essendon,11,21,87,10,7,67,Brisbane Lions,20,0,0,35898
2024,24,2024-08-24 19:40:00,S.C.G.,Sydney,Adelaide,18,13,121,13,12,90,Sydney,31,0,0,35904
